KEM,Cert,Iteration,Time
mlkem512,rsa_2048,1,18.01
mlkem512,rsa_2048,2,17.89
mlkem512,rsa_2048,3,17.67
mlkem512,rsa_2048,4,17.92
mlkem512,rsa_2048,5,18.29
mlkem512,rsa_2048,6,17.83
mlkem512,rsa_2048,7,17.81
mlkem512,rsa_2048,8,17.63
mlkem512,rsa_2048,9,18.14
mlkem512,rsa_2048,10,17.61
mlkem512,rsa_2048,11,17.80
mlkem512,rsa_2048,12,17.41
mlkem512,rsa_2048,13,17.61
mlkem512,rsa_2048,14,17.75
mlkem512,rsa_2048,15,17.79
mlkem512,rsa_2048,16,18.00
mlkem512,rsa_2048,17,17.26
mlkem512,rsa_2048,18,17.59
mlkem512,rsa_2048,19,17.76
mlkem512,rsa_2048,20,17.98
mlkem512,rsa_2048,21,17.66
mlkem512,rsa_2048,22,17.40
mlkem512,rsa_2048,23,17.50
mlkem512,rsa_2048,24,17.72
mlkem512,rsa_2048,25,17.69
mlkem512,rsa_2048,26,17.71
mlkem512,rsa_2048,27,17.69
mlkem512,rsa_2048,28,17.73
mlkem512,rsa_2048,29,18.05
mlkem512,rsa_2048,30,17.93
mlkem512,rsa_2048,31,17.71
mlkem512,rsa_2048,32,17.89
mlkem512,rsa_2048,33,17.73
mlkem512,rsa_2048,34,17.74
mlkem512,rsa_2048,35,17.85
mlkem512,rsa_2048,36,17.65
mlkem512,rsa_2048,37,17.89
mlkem512,rsa_2048,38,17.65
mlkem512,rsa_2048,39,17.76
mlkem512,rsa_2048,40,17.99
mlkem512,rsa_2048,41,17.77
mlkem512,rsa_2048,42,17.51
mlkem512,rsa_2048,43,17.67
mlkem512,rsa_2048,44,17.61
mlkem512,rsa_2048,45,17.56
mlkem512,rsa_2048,46,17.96
mlkem512,rsa_2048,47,17.68
mlkem512,rsa_2048,48,17.66
mlkem512,rsa_2048,49,18.05
mlkem512,rsa_2048,50,17.86
mlkem512,mldsa44,1,16.46
mlkem512,mldsa44,2,16.77
mlkem512,mldsa44,3,16.84
mlkem512,mldsa44,4,16.86
mlkem512,mldsa44,5,17.93
mlkem512,mldsa44,6,16.14
mlkem512,mldsa44,7,17.16
mlkem512,mldsa44,8,16.56
mlkem512,mldsa44,9,16.81
mlkem512,mldsa44,10,17.04
mlkem512,mldsa44,11,16.82
mlkem512,mldsa44,12,16.57
mlkem512,mldsa44,13,16.10
mlkem512,mldsa44,14,17.03
mlkem512,mldsa44,15,16.56
mlkem512,mldsa44,16,16.34
mlkem512,mldsa44,17,16.33
mlkem512,mldsa44,18,16.21
mlkem512,mldsa44,19,16.91
mlkem512,mldsa44,20,16.72
mlkem512,mldsa44,21,17.51
mlkem512,mldsa44,22,17.54
mlkem512,mldsa44,23,18.34
mlkem512,mldsa44,24,15.68
mlkem512,mldsa44,25,14.96
mlkem512,mldsa44,26,17.44
mlkem512,mldsa44,27,14.41
mlkem512,mldsa44,28,15.31
mlkem512,mldsa44,29,13.90
mlkem512,mldsa44,30,14.27
mlkem512,mldsa44,31,15.16
mlkem512,mldsa44,32,15.20
mlkem512,mldsa44,33,15.46
mlkem512,mldsa44,34,15.97
mlkem512,mldsa44,35,15.87
mlkem512,mldsa44,36,17.11
mlkem512,mldsa44,37,17.19
mlkem512,mldsa44,38,16.51
mlkem512,mldsa44,39,16.04
mlkem512,mldsa44,40,15.75
mlkem512,mldsa44,41,14.72
mlkem512,mldsa44,42,16.16
mlkem512,mldsa44,43,15.94
mlkem512,mldsa44,44,14.37
mlkem512,mldsa44,45,14.68
mlkem512,mldsa44,46,15.28
mlkem512,mldsa44,47,15.48
mlkem512,mldsa44,48,16.18
mlkem512,mldsa44,49,16.23
mlkem512,mldsa44,50,15.36
mlkem512,falcon512,1,16.36
mlkem512,falcon512,2,15.23
mlkem512,falcon512,3,14.02
mlkem512,falcon512,4,14.06
mlkem512,falcon512,5,14.25
mlkem512,falcon512,6,15.87
mlkem512,falcon512,7,15.93
mlkem512,falcon512,8,14.06
mlkem512,falcon512,9,14.05
mlkem512,falcon512,10,13.97
mlkem512,falcon512,11,13.63
mlkem512,falcon512,12,14.24
mlkem512,falcon512,13,13.85
mlkem512,falcon512,14,14.62
mlkem512,falcon512,15,13.23
mlkem512,falcon512,16,14.34
mlkem512,falcon512,17,12.92
mlkem512,falcon512,18,13.58
mlkem512,falcon512,19,13.58
mlkem512,falcon512,20,13.51
mlkem512,falcon512,21,12.72
mlkem512,falcon512,22,13.47
mlkem512,falcon512,23,12.62
mlkem512,falcon512,24,12.55
mlkem512,falcon512,25,13.50
mlkem512,falcon512,26,13.54
mlkem512,falcon512,27,13.04
mlkem512,falcon512,28,14.12
mlkem512,falcon512,29,13.46
mlkem512,falcon512,30,14.62
mlkem512,falcon512,31,12.94
mlkem512,falcon512,32,13.10
mlkem512,falcon512,33,12.61
mlkem512,falcon512,34,13.04
mlkem512,falcon512,35,13.44
mlkem512,falcon512,36,12.52
mlkem512,falcon512,37,13.30
mlkem512,falcon512,38,13.59
mlkem512,falcon512,39,13.89
mlkem512,falcon512,40,13.77
mlkem512,falcon512,41,13.48
mlkem512,falcon512,42,12.74
mlkem512,falcon512,43,13.64
mlkem512,falcon512,44,13.97
mlkem512,falcon512,45,13.51
mlkem512,falcon512,46,12.16
mlkem512,falcon512,47,13.42
mlkem512,falcon512,48,12.42
mlkem512,falcon512,49,14.02
mlkem512,falcon512,50,13.41
mlkem768,rsa_2048,1,14.38
mlkem768,rsa_2048,2,14.32
mlkem768,rsa_2048,3,14.03
mlkem768,rsa_2048,4,14.02
mlkem768,rsa_2048,5,13.49
mlkem768,rsa_2048,6,13.67
mlkem768,rsa_2048,7,13.80
mlkem768,rsa_2048,8,14.35
mlkem768,rsa_2048,9,15.14
mlkem768,rsa_2048,10,14.72
mlkem768,rsa_2048,11,14.65
mlkem768,rsa_2048,12,14.23
mlkem768,rsa_2048,13,13.76
mlkem768,rsa_2048,14,14.07
mlkem768,rsa_2048,15,14.46
mlkem768,rsa_2048,16,13.49
mlkem768,rsa_2048,17,14.04
mlkem768,rsa_2048,18,13.49
mlkem768,rsa_2048,19,13.22
mlkem768,rsa_2048,20,14.21
mlkem768,rsa_2048,21,14.81
mlkem768,rsa_2048,22,14.69
mlkem768,rsa_2048,23,13.71
mlkem768,rsa_2048,24,13.55
mlkem768,rsa_2048,25,14.19
mlkem768,rsa_2048,26,14.27
mlkem768,rsa_2048,27,14.37
mlkem768,rsa_2048,28,14.31
mlkem768,rsa_2048,29,14.48
mlkem768,rsa_2048,30,14.27
mlkem768,rsa_2048,31,13.03
mlkem768,rsa_2048,32,14.24
mlkem768,rsa_2048,33,14.13
mlkem768,rsa_2048,34,14.39
mlkem768,rsa_2048,35,14.19
mlkem768,rsa_2048,36,12.79
mlkem768,rsa_2048,37,13.22
mlkem768,rsa_2048,38,12.72
mlkem768,rsa_2048,39,13.57
mlkem768,rsa_2048,40,14.55
mlkem768,rsa_2048,41,14.20
mlkem768,rsa_2048,42,15.35
mlkem768,rsa_2048,43,14.77
mlkem768,rsa_2048,44,13.63
mlkem768,rsa_2048,45,13.56
mlkem768,rsa_2048,46,14.85
mlkem768,rsa_2048,47,14.54
mlkem768,rsa_2048,48,13.98
mlkem768,rsa_2048,49,13.66
mlkem768,rsa_2048,50,14.68
mlkem768,mldsa44,1,13.68
mlkem768,mldsa44,2,14.00
mlkem768,mldsa44,3,13.09
mlkem768,mldsa44,4,13.86
mlkem768,mldsa44,5,13.20
mlkem768,mldsa44,6,14.44
mlkem768,mldsa44,7,14.63
mlkem768,mldsa44,8,14.64
mlkem768,mldsa44,9,14.01
mlkem768,mldsa44,10,15.73
mlkem768,mldsa44,11,14.08
mlkem768,mldsa44,12,14.85
mlkem768,mldsa44,13,14.79
mlkem768,mldsa44,14,16.37
mlkem768,mldsa44,15,15.40
mlkem768,mldsa44,16,16.36
mlkem768,mldsa44,17,16.59
mlkem768,mldsa44,18,16.94
mlkem768,mldsa44,19,16.79
mlkem768,mldsa44,20,16.83
mlkem768,mldsa44,21,16.42
mlkem768,mldsa44,22,16.70
mlkem768,mldsa44,23,16.64
mlkem768,mldsa44,24,16.58
mlkem768,mldsa44,25,16.74
mlkem768,mldsa44,26,16.62
mlkem768,mldsa44,27,16.68
mlkem768,mldsa44,28,16.57
mlkem768,mldsa44,29,16.83
mlkem768,mldsa44,30,16.47
mlkem768,mldsa44,31,17.14
mlkem768,mldsa44,32,17.01
mlkem768,mldsa44,33,16.96
mlkem768,mldsa44,34,16.52
mlkem768,mldsa44,35,16.59
mlkem768,mldsa44,36,16.66
mlkem768,mldsa44,37,16.87
mlkem768,mldsa44,38,16.77
mlkem768,mldsa44,39,16.59
mlkem768,mldsa44,40,16.57
mlkem768,mldsa44,41,16.66
mlkem768,mldsa44,42,16.55
mlkem768,mldsa44,43,16.95
mlkem768,mldsa44,44,16.90
mlkem768,mldsa44,45,17.34
mlkem768,mldsa44,46,17.12
mlkem768,mldsa44,47,16.44
mlkem768,mldsa44,48,16.46
mlkem768,mldsa44,49,16.78
mlkem768,mldsa44,50,16.33
mlkem768,falcon512,1,17.75
mlkem768,falcon512,2,17.10
mlkem768,falcon512,3,17.04
mlkem768,falcon512,4,17.48
mlkem768,falcon512,5,17.83
mlkem768,falcon512,6,17.29
mlkem768,falcon512,7,17.85
mlkem768,falcon512,8,17.28
mlkem768,falcon512,9,17.42
mlkem768,falcon512,10,17.50
mlkem768,falcon512,11,17.51
mlkem768,falcon512,12,17.43
mlkem768,falcon512,13,16.99
mlkem768,falcon512,14,16.56
mlkem768,falcon512,15,16.65
mlkem768,falcon512,16,16.73
mlkem768,falcon512,17,17.20
mlkem768,falcon512,18,17.14
mlkem768,falcon512,19,17.24
mlkem768,falcon512,20,17.60
mlkem768,falcon512,21,16.97
mlkem768,falcon512,22,17.30
mlkem768,falcon512,23,16.93
mlkem768,falcon512,24,16.76
mlkem768,falcon512,25,17.14
mlkem768,falcon512,26,17.24
mlkem768,falcon512,27,16.96
mlkem768,falcon512,28,17.09
mlkem768,falcon512,29,16.74
mlkem768,falcon512,30,17.24
mlkem768,falcon512,31,17.10
mlkem768,falcon512,32,17.23
mlkem768,falcon512,33,17.15
mlkem768,falcon512,34,17.20
mlkem768,falcon512,35,17.38
mlkem768,falcon512,36,17.74
mlkem768,falcon512,37,17.05
mlkem768,falcon512,38,17.23
mlkem768,falcon512,39,17.06
mlkem768,falcon512,40,16.90
mlkem768,falcon512,41,16.89
mlkem768,falcon512,42,17.27
mlkem768,falcon512,43,16.97
mlkem768,falcon512,44,17.05
mlkem768,falcon512,45,17.41
mlkem768,falcon512,46,17.16
mlkem768,falcon512,47,16.95
mlkem768,falcon512,48,16.91
mlkem768,falcon512,49,17.48
mlkem768,falcon512,50,17.30
mlkem1024,rsa_2048,1,18.21
mlkem1024,rsa_2048,2,17.74
mlkem1024,rsa_2048,3,17.63
mlkem1024,rsa_2048,4,17.22
mlkem1024,rsa_2048,5,17.45
mlkem1024,rsa_2048,6,17.04
mlkem1024,rsa_2048,7,17.11
mlkem1024,rsa_2048,8,18.05
mlkem1024,rsa_2048,9,17.75
mlkem1024,rsa_2048,10,17.02
mlkem1024,rsa_2048,11,16.25
mlkem1024,rsa_2048,12,16.66
mlkem1024,rsa_2048,13,17.10
mlkem1024,rsa_2048,14,17.11
mlkem1024,rsa_2048,15,17.78
mlkem1024,rsa_2048,16,18.34
mlkem1024,rsa_2048,17,17.70
mlkem1024,rsa_2048,18,17.67
mlkem1024,rsa_2048,19,18.01
mlkem1024,rsa_2048,20,17.87
mlkem1024,rsa_2048,21,17.90
mlkem1024,rsa_2048,22,18.11
mlkem1024,rsa_2048,23,17.54
