KEM,Cert,Iteration,Time
qkd_mlkem512,rsa_2048,1,835.28
qkd_mlkem512,rsa_2048,2,753.57
qkd_mlkem512,rsa_2048,3,764.80
qkd_mlkem512,rsa_2048,4,749.73
qkd_mlkem512,rsa_2048,5,719.71
qkd_mlkem512,rsa_2048,6,741.96
qkd_mlkem512,rsa_2048,7,751.43
qkd_mlkem512,rsa_2048,8,783.39
qkd_mlkem512,rsa_2048,9,778.25
qkd_mlkem512,rsa_2048,10,764.71
qkd_mlkem512,rsa_2048,11,768.86
qkd_mlkem512,rsa_2048,12,736.14
qkd_mlkem512,rsa_2048,13,779.18
qkd_mlkem512,rsa_2048,14,716.54
qkd_mlkem512,rsa_2048,15,733.78
qkd_mlkem512,rsa_2048,16,752.79
qkd_mlkem512,rsa_2048,17,717.53
qkd_mlkem512,rsa_2048,18,757.36
qkd_mlkem512,rsa_2048,19,752.81
qkd_mlkem512,rsa_2048,20,767.54
qkd_mlkem512,rsa_2048,21,756.79
qkd_mlkem512,rsa_2048,22,770.91
qkd_mlkem512,rsa_2048,23,810.86
qkd_mlkem512,rsa_2048,24,853.76
qkd_mlkem512,rsa_2048,25,774.88
qkd_mlkem512,rsa_2048,26,853.73
qkd_mlkem512,rsa_2048,27,786.15
qkd_mlkem512,rsa_2048,28,758.54
qkd_mlkem512,rsa_2048,29,765.08
qkd_mlkem512,rsa_2048,30,786.14
qkd_mlkem512,rsa_2048,31,783.67
qkd_mlkem512,rsa_2048,32,771.72
qkd_mlkem512,rsa_2048,33,780.21
qkd_mlkem512,rsa_2048,34,830.26
qkd_mlkem512,rsa_2048,35,729.77
qkd_mlkem512,rsa_2048,36,722.49
qkd_mlkem512,rsa_2048,37,755.33
qkd_mlkem512,rsa_2048,38,742.02
qkd_mlkem512,rsa_2048,39,801.07
qkd_mlkem512,rsa_2048,40,759.60
qkd_mlkem512,rsa_2048,41,772.84
qkd_mlkem512,rsa_2048,42,757.94
qkd_mlkem512,rsa_2048,43,783.40
qkd_mlkem512,rsa_2048,44,752.78
qkd_mlkem512,rsa_2048,45,783.06
qkd_mlkem512,rsa_2048,46,788.98
qkd_mlkem512,rsa_2048,47,738.93
qkd_mlkem512,rsa_2048,48,735.85
qkd_mlkem512,rsa_2048,49,740.84
qkd_mlkem512,rsa_2048,50,745.42
qkd_mlkem512,mldsa44,1,879.61
qkd_mlkem512,mldsa44,2,753.18
qkd_mlkem512,mldsa44,3,765.10
qkd_mlkem512,mldsa44,4,776.70
qkd_mlkem512,mldsa44,5,803.61
qkd_mlkem512,mldsa44,6,708.11
qkd_mlkem512,mldsa44,7,797.52
qkd_mlkem512,mldsa44,8,802.29
qkd_mlkem512,mldsa44,9,752.57
qkd_mlkem512,mldsa44,10,820.31
qkd_mlkem512,mldsa44,11,842.12
qkd_mlkem512,mldsa44,12,799.90
qkd_mlkem512,mldsa44,13,789.50
qkd_mlkem512,mldsa44,14,776.57
qkd_mlkem512,mldsa44,15,774.48
qkd_mlkem512,mldsa44,16,784.39
qkd_mlkem512,mldsa44,17,722.42
qkd_mlkem512,mldsa44,18,748.91
qkd_mlkem512,mldsa44,19,734.16
qkd_mlkem512,mldsa44,20,763.31
qkd_mlkem512,mldsa44,21,786.13
qkd_mlkem512,mldsa44,22,786.52
qkd_mlkem512,mldsa44,23,794.35
qkd_mlkem512,mldsa44,24,1081.77
qkd_mlkem512,mldsa44,25,1678.96
qkd_mlkem512,mldsa44,26,1371.23
qkd_mlkem512,mldsa44,27,1421.22
qkd_mlkem512,mldsa44,28,1647.52
qkd_mlkem512,mldsa44,29,1368.94
qkd_mlkem512,mldsa44,30,1165.83
qkd_mlkem512,mldsa44,31,769.61
qkd_mlkem512,mldsa44,32,796.52
qkd_mlkem512,mldsa44,33,839.90
qkd_mlkem512,mldsa44,34,766.62
qkd_mlkem512,mldsa44,35,751.54
qkd_mlkem512,mldsa44,36,809.37
qkd_mlkem512,mldsa44,37,922.17
qkd_mlkem512,mldsa44,38,778.24
qkd_mlkem512,mldsa44,39,811.45
qkd_mlkem512,mldsa44,40,788.94
qkd_mlkem512,mldsa44,41,737.62
qkd_mlkem512,mldsa44,42,775.42
qkd_mlkem512,mldsa44,43,790.98
qkd_mlkem512,mldsa44,44,789.28
qkd_mlkem512,mldsa44,45,761.19
qkd_mlkem512,mldsa44,46,760.13
qkd_mlkem512,mldsa44,47,750.39
qkd_mlkem512,mldsa44,48,701.21
